codloc;localidad;codpostal;partido;provincia;codpart
"00011436";"AGUA SUCIA";"A4449XAA";"ANTA";"A";"0722"
"00011437";"ALGARROBAL";"A4452XAA";"ANTA";"A";"0722"
"00011438";"ALTO ALEGRE";"A4449XAB";"ANTA";"A";"0722"
"00011440";"APOLINARIO SARAVIA";"";"ANTA";"A";"0722"
"00011442";"ARITA";"A4449XAC";"ANTA";"A";"0722"
"00011443";"BARREALITO";"A4449XAD";"ANTA";"A";"0722"
"00011439";"CABEZA DE ANTA";"A4434XAA";"ANTA";"A";"0722"
"00011444";"CAMPO ALEGRE";"A4449XAE";"ANTA";"A";"0722"
"00011445";"CARRERAS";"A4434XAB";"ANTA";"A";"0722"
"00011446";"CEIBALITO";"A4446XAJ";"ANTA";"A";"0722"
"00011448";"CHORROARIN";"A4446XAL";"ANTA";"A";"0722"
"00011450";"COLONIA HURLINGHAM";"A4449XAZ";"ANTA";"A";"0722"
"00011451";"CORONEL MOLLINEDO";"";"ANTA";"A";"0722"
"00011452";"CORONEL OLLEROS";"A4446XAM";"ANTA";"A";"0722"
"00011453";"CORONEL VIDT";"A4448XAQ";"ANTA";"A";"0722"
"00011454";"DIVISADERO";"A4446XAN";"ANTA";"A";"0722"
"00027530";"EL ALGARROBAL";"A4448XBB";"ANTA";"A";"0722"
"00011441";"EL ARENAL";"A4448XAC";"ANTA";"A";"0722"
"00011455";"EL BORDO";"A4449XBA";"ANTA";"A";"0722"
"00011456";"EL CARMEN";"A4449XAF";"ANTA";"A";"0722"
"00011457";"EL CARRIZAL";"A4446XAA";"ANTA";"A";"0722"
"00011458";"EL JARAVI";"A4446XAB";"ANTA";"A";"0722"
"00011459";"EL LIBANO";"A4434XAC";"ANTA";"A";"0722"
"00011460";"EL MANANTIAL";"A4449XAG";"ANTA";"A";"0722"
"00011461";"EL NARANJO";"A4434XAD";"ANTA";"A";"0722"
"00011462";"EL PACARA";"A4446XAC";"ANTA";"A";"0722"
"00011463";"EL PERICOTE";"A4449XAH";"ANTA";"A";"0722"
"00011511";"EL PORVENIR";"A4452XAS";"ANTA";"A";"0722"
"00011464";"EL QUEBRACHAL";"";"ANTA";"A";"0722"
"00011465";"EL REY";"A4434XAE";"ANTA";"A";"0722"
"00011466";"EL SIMBOLAR";"A4423XAA";"ANTA";"A";"0722"
"00011467";"EL VENCIDO";"A4452XAM";"ANTA";"A";"0722"
"00011468";"EL YESO";"A4449XBB";"ANTA";"A";"0722"
"00011469";"ESPINILLO";"A4449XBC";"ANTA";"A";"0722"
"00011470";"ESQUINA";"A4449XBD";"ANTA";"A";"0722"
"00011471";"ESTANCIA VIEJA";"A4434XAM";"ANTA";"A";"0722"
"00027534";"FINCA LA CHINA";"A4434XAR";"ANTA";"A";"0722"
"00011472";"FINCA MISION ZENTA";"A4448XAR";"ANTA";"A";"0722"
"00011473";"FLORESTA";"A4452XAN";"ANTA";"A";"0722"
"00011474";"FUERTE EL PITO";"A4452XAO";"ANTA";"A";"0722"
"00011475";"GAONA";"A4452XAP";"ANTA";"A";"0722"
"00011476";"GENERAL PIZARRO";"A4449XBE";"ANTA";"A";"0722"
"00011477";"GONZALEZ";"A4434XAF";"ANTA";"A";"0722"
"00011478";"JOAQUIN V GONZALEZ";"";"ANTA";"A";"0722"
"00011479";"KILOMETRO 1088";"A4448XAD";"ANTA";"A";"0722"
"00011480";"KILOMETRO 1104";"A4449XAI";"ANTA";"A";"0722"
"00011481";"KILOMETRO 1152";"A4452XAB";"ANTA";"A";"0722"
"00011482";"LA CUESTITA ANTA";"A4434XAG";"ANTA";"A";"0722"
"00020846";"LA ESPERANZA";"A4448XAY";"ANTA";"A";"0722"
"00020848";"LA LOMITA";"A4448XAZ";"ANTA";"A";"0722"
"00011483";"LA MANGA";"A4446XAD";"ANTA";"A";"0722"
"00011484";"LAGUNA BLANCA";"A4448XAE";"ANTA";"A";"0722"
"00011485";"LAGUNA VERDE";"A4449XAJ";"ANTA";"A";"0722"
"00020851";"LAGUNITA";"A4446XAR";"ANTA";"A";"0722"
