codpart;partido;provincia
"0722";"ANTA";"A"
"0723";"CACHI";"A"
"0724";"CAFAYATE";"A"
"0725";"CAPITAL";"A"
"0726";"CERRILLOS";"A"
"0727";"CHICOANA";"A"
"0730";"GENERAL JOSE DE SAN MARTIN";"A"
"0729";"GENERAL MARTIN M GUEMES";"A"
"0731";"GUACHIPAS";"A"
"0732";"IRUYA";"A"
"0733";"LA CALDERA";"A"
"0921";"LA CANDELARIA";"A"
"0734";"LA POMA";"A"
"0736";"LOS ANDES";"A"
"0737";"METAN";"A"
"0738";"MOLINOS";"A"
"0739";"ORAN";"A"
"0740";"RIVADAVIA";"A"
"0741";"ROSARIO DE LA FRONTERA";"A"
"0742";"ROSARIO DE LERMA";"A"
"0743";"SAN CARLOS";"A"
"0744";"SANTA VICTORIA";"A"
"0063";"25 DE MAYO";"B"
"0064";"9 DE JULIO";"B"
"0065";"ADOLFO ALSINA";"B"
"0066";"ADOLFO GONZALES CHAVES";"B"
"0067";"ALBERTI";"B"
"0955";"ALMIRANTE BROWN";"B"
"0072";"AVELLANEDA";"B"
"0073";"AYACUCHO";"B"
"0074";"AZUL";"B"
"0075";"BAHIA BLANCA";"B"
"0076";"BALCARCE";"B"
"0077";"BARADERO";"B"
"0078";"BARTOLOME MITRE";"B"
"0080";"BENITO JUAREZ";"B"
"0950";"BERAZATEGUI";"B"
"0082";"BERISSO";"B"
"0083";"BOLIVAR";"B"
"0084";"BRAGADO";"B"
"0086";"CAMPANA";"B"
"0088";"CAPITAN SARMIENTO";"B"
"0089";"CARLOS CASARES";"B"
"0090";"CARLOS TEJEDOR";"B"
"0091";"CARMEN DE ARECO";"B"
"0094";"CASTELLI";"B"
"0095";"CHACABUCO";"B"
"0096";"CHASCOMUS";"B"
"0097";"CHIVILCOY";"B"
"0098";"COLON";"B"
"0085";"CORONEL BRANDSEN";"B"
"0100";"CORONEL DORREGO";"B"
"0101";"CORONEL PRINGLES";"B"
"0099";"CORONEL ROSALES";"B"
"0102";"CORONEL SUAREZ";"B"
"0103";"DAIREAUX";"B"
"0411";"DE LA COSTA";"B"
"0104";"DOLORES";"B"
"0105";"ENSENADA";"B"
"0106";"ESCOBAR";"B"
"0407";"ESTEBAN ECHEVERRIA";"B"
"0108";"EXALTACION DE LA CRUZ";"B"
"0929";"EZEIZA";"B"
"0949";"FLORENCIO VARELA";"B"
"0071";"FLORENTINO AMEGHINO";"B"
"0069";"GENERAL ALVARADO";"B"
"0070";"GENERAL ALVEAR";"B"
"0111";"GENERAL ARENALES";"B"
"0112";"GENERAL BELGRANO";"B"
"0113";"GENERAL GUIDO";"B"
"0129";"GENERAL LAMADRID";"B"
"0133";"GENERAL LAS HERAS";"B"
"0114";"GENERAL LAVALLE";"B"
"0115";"GENERAL MADARIAGA";"B"
"0116";"GENERAL PAZ";"B"
"0117";"GENERAL PINTO";"B"
"0162";"GENERAL PUEYRREDON";"B"
"0954";"GENERAL RODRIGUEZ";"B"
"0947";"GENERAL SAN MARTIN";"B"
"0193";"GENERAL VIAMONTE";"B"
"0120";"GENERAL VILLEGAS";"B"
"0121";"GUAMINI";"B"
"0196";"HIPOLITO YRIGOYEN";"B"
"0923";"HURLINGHAM";"B"
"0926";"ITUZAINGO";"B"
